Source,Date,Title,Headline
ESPN,2021-09-27,Concern among NBA vaccinated staffers growing,Though roughly of NBA players are vaccinated as training camp approaches Tuesday tension exists between those around the league mandated to be vaccinated and the nearly unvaccinated players league sources told ESPN
ESPN,2021-10-05,NBA GMs pick Nets to win title Durant as MVP,In the annual survey of all GMs by NBA com the Nets received of the votes to win this year s title followed by the Lakers and Bucks Kevin Durant was the MVP choice at ahead of the Mavericks Luka Doncic
ESPN,2021-09-30,Sources Vax rate for NBA players rises to,The NBA has reached a vaccination threshold of its players reflecting a steady rise since the opening of training camps this week league sources told ESPN
ESPN,2021-09-21,Redick to retire after seasons in NBA,JJ Redick who played for the Pelicans and Mavericks last season announced his retirement from the NBA after seasons in the league
ESPN,2021-09-28,Vaxxed LeBron Road to title starts with health,One of the reasons Lakers star LeBron James said he got the COVID vaccine was because staying healthy is the No thing on the team s road to winning an NBA championship this season
ESPN,2021-09-24,Sources Ginobili returning to Spurs as advisor,Four time NBA champion Manu Ginobili one of the greatest international players in basketball history is returning to the San Antonio Spurs as a special advisor to basketball operations sources told ESPN s Adrian Wojnarowski
ESPN,2021-09-30,NHL teams mull dress code as Coyotes ease rules,As the NHL season opens the Coyotes are the only team with plans to fully relax its game day dress code for players according to an ESPN survey of all teams
ESPN,2021-10-08,Sources Irving to practice with Nets in Brooklyn,Brooklyn Nets star Kyrie Irving will be able to practice at the team s facility in Brooklyn sources confirmed to ESPN but still won t be able to play in home games due to the city s COVID vaccine mandate
ESPN,2021-09-22,The real top players in WNBA history according to the stats,Kevin Pelton s statistical model offers a much different order of the league s all time best than our panel selected
ESPN,2021-09-22,NBArank These stars just missed a spot in the league s upper tier,Risers fallers and the return of Klay Thompson mark the highlights as our annual NBA player rankings continue
ESPN,2021-09-16,Giannis mom brother get Greek citizenship,NBA star Giannis Antetokounmpo was in Greece for a meeting with the country s prime minister Thursday and a special ceremony to bestow Greek citizenship on his mother Veronica and younger brother Alex
ESPN,2021-09-12,Pierce Bosh among inducted into hoops Hall,Paul Pierce thanking the teams that passed on him in the NBA draft and Chris Bosh returning one of Pat Riley s championship rings highlighted Saturday night s Basketball Hall of Fame induction ceremony for the Class of
